title,district,sector,property_type,bedrooms,bathrooms,size_sqft,land_size,year_built,road_access,furnished,parking,modern_finish,proximity_to_city,price_rwf,sector_official,geo_source,cbd_distance_km,nearest_school_km,nearest_hospital_km,nearest_market_km,nearest_bank_km,accessibility_score,sector_density_score,neighborhood_score,investment_score
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,7,2,6800,2388,2005,paved,0,1,1,21,213478256.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Nyarutarama,Gasabo,Nyarutarama,house,3,1,7017,1691,2009,paved,0,3,1,2,820608128.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,6,3,1562,329,2004,dirt,1,0,0,17,153589782.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Villa in Gisozi,Gasabo,Gisozi,villa,1,5,5451,405,2017,paved,1,2,0,13,144838786.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,3,3,4508,1263,2004,dirt,1,4,1,4,134002506.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,3,4,1789,2345,2012,paved,0,0,1,26,117706912.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,6,5,1130,1030,2010,paved,1,2,1,2,184159770.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Remera,Gasabo,Remera,villa,7,2,1054,1806,2018,paved,1,1,1,2,244090186.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gacuriro,Gasabo,Gacuriro,house,2,2,7547,1790,2013,paved,1,0,1,3,251296436.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Nyamirambo,Nyarugenge,Nyamirambo,house,4,2,1553,1508,1997,dirt,1,4,1,24,47605494.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Nyarutarama,Gasabo,Nyarutarama,villa,4,4,2215,1599,2003,paved,0,1,1,20,525064365.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Nyamirambo,Nyarugenge,Nyamirambo,house,3,4,4175,2405,2020,paved,1,3,1,29,107287333.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,6,5,7311,229,2014,paved,0,2,0,17,237639853.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Remera,Gasabo,Remera,apartment,2,1,3412,1047,1991,paved,0,4,1,19,120596520.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kacyiru,Gasabo,Kacyiru,house,1,2,6181,1137,2007,dirt,0,4,0,26,208774292.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kacyiru,Gasabo,Kacyiru,house,2,2,5653,1452,2012,dirt,1,4,0,19,292099657.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Gitega,Nyarugenge,Gitega,house,4,5,3331,869,2021,paved,1,1,1,16,95321796.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Gahanga,Kicukiro,Gahanga,house,2,2,3591,876,2010,paved,0,1,0,28,62838839.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,1,3,6571,1770,1996,paved,1,1,0,14,130091039.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,6,3,2227,2451,2012,paved,0,3,1,23,134239052.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Kacyiru,Gasabo,Kacyiru,house,6,1,6550,2496,2015,paved,1,4,1,19,394497016.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,2,3,6905,468,2005,dirt,1,0,0,22,107271901.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Kibagabaga,Gasabo,Kibagabaga,house,4,1,2972,1008,2005,paved,0,0,1,15,120526167.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,4,4,3902,1588,2024,paved,0,4,0,22,277391820.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,1,1,3215,232,2010,dirt,1,1,0,6,84127022.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,1,3,5666,2127,1991,dirt,1,3,1,4,79840468.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,4,5,6714,2362,2006,paved,1,3,0,27,207518416.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,3,1,4302,508,2008,paved,1,1,0,3,520167999.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kimihurura,Gasabo,Kimihurura,house,3,4,4657,2153,2006,paved,1,2,0,12,354985622.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,3,4,4609,1228,2004,paved,1,0,1,12,585460760.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,7,5,2663,2417,1993,dirt,0,4,0,30,55300846.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Gacuriro,Gasabo,Gacuriro,villa,4,3,1446,1767,1992,paved,0,1,0,6,139407264.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,2,2,1149,1884,1995,paved,0,1,0,9,39030790.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,7,1,1512,1739,2025,paved,0,4,1,28,112898368.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,5,5,5080,1868,1997,paved,0,4,0,4,164017622.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Gahanga,Kicukiro,Gahanga,apartment,7,1,7236,1321,2024,dirt,1,3,0,16,101141872.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Townhouse in Remera,Gasabo,Remera,townhouse,4,2,5864,1795,1992,dirt,1,1,1,16,162820577.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,1,3,7496,1391,2009,dirt,0,0,0,8,111715195.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,4,3,3007,1857,1995,paved,0,3,0,25,115533381.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,7,1,5021,801,1994,dirt,0,4,0,1,101839866.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Gacuriro,Gasabo,Gacuriro,house,7,1,2843,285,2019,dirt,0,2,1,15,168432448.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,1,1,2781,1675,2021,paved,0,4,0,12,59558546.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Remera,Gasabo,Remera,house,6,1,3135,262,2014,paved,0,1,0,21,148936233.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Gacuriro,Gasabo,Gacuriro,townhouse,3,4,5004,232,1990,dirt,0,4,0,8,117251969.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,3,3,4271,1692,2012,paved,0,4,0,13,83813063.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Nyarutarama,Gasabo,Nyarutarama,house,5,3,5399,1307,2009,paved,1,2,0,28,589558722.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,6,3,2343,764,2023,dirt,0,4,1,11,103203671.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,1,4,3221,1212,2016,paved,1,4,0,11,143297028.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,6,5,6029,2098,2012,dirt,0,4,1,4,228900816.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,3,5,7049,899,2011,paved,1,2,1,29,194668798.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
House in Remera,Gasabo,Remera,house,5,3,4599,632,2020,dirt,0,4,1,29,176545366.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kimihurura,Gasabo,Kimihurura,house,7,4,5140,1372,2016,dirt,1,1,1,19,511135718.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,2,3,7864,888,1995,paved,0,2,0,1,128145835.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Gacuriro,Gasabo,Gacuriro,house,7,2,5520,798,2021,paved,0,3,1,16,268147510.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,5,2,6785,1678,1990,dirt,0,0,0,21,382380270.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Gacuriro,Gasabo,Gacuriro,townhouse,6,3,3356,678,1996,paved,1,0,0,10,167351398.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,6,5,5685,2296,2011,dirt,0,2,0,16,127866536.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Gacuriro,Gasabo,Gacuriro,villa,2,4,956,1085,2004,paved,1,4,1,12,170641835.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Gitega,Nyarugenge,Gitega,house,1,4,7980,1197,2024,paved,1,0,0,1,123746575.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,4,4,3915,656,2025,paved,1,0,1,22,374880250.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Kanombe,Kicukiro,Kanombe,house,3,5,5761,711,2016,paved,0,2,1,4,151230878.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Gahanga,Kicukiro,Gahanga,apartment,2,3,7611,2292,2002,dirt,1,0,1,30,68645169.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,3,2,822,202,1995,dirt,0,1,0,25,48900491.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Nyarugenge Town,Nyarugenge,Nyarugenge Town,apartment,6,1,2896,1096,2019,paved,1,1,0,28,116153635.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
House in Gitega,Nyarugenge,Gitega,house,6,3,4289,624,1996,paved,1,1,1,29,80179176.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Gahanga,Kicukiro,Gahanga,house,3,1,3852,1553,2001,paved,0,2,0,23,66002823.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Gitega,Nyarugenge,Gitega,villa,4,2,1726,692,1993,paved,0,3,0,22,55560136.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Gahanga,Kicukiro,Gahanga,townhouse,4,3,5808,268,1998,dirt,1,3,1,3,82931079.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,1,5,7087,2464,2004,paved,0,4,1,22,159586362.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,3,4,2017,2436,1993,paved,1,3,0,28,71721356.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Gitega,Nyarugenge,Gitega,house,4,3,2773,1505,2007,paved,0,3,1,8,72530681.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,7,5,4470,510,2021,paved,0,0,1,14,154698065.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Kanombe,Kicukiro,Kanombe,villa,1,1,7286,1397,2022,paved,0,2,1,2,191965277.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,3,5,7086,2087,2013,paved,0,1,1,12,188483727.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Gitega,Nyarugenge,Gitega,house,3,5,5076,1681,1996,dirt,0,3,1,20,65128470.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,7,4,2566,2022,2002,paved,0,4,1,29,283889871.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Nyamirambo,Nyarugenge,Nyamirambo,house,5,5,1902,2193,1990,paved,0,4,1,17,62688131.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,6,5,2222,675,1996,paved,0,2,1,13,214035952.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Gahanga,Kicukiro,Gahanga,apartment,6,2,3041,1779,2011,paved,1,3,0,29,76330418.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Remera,Gasabo,Remera,villa,7,5,7850,1435,2025,paved,0,2,0,30,325000000.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,6,2,4927,2372,2010,dirt,0,4,0,22,139031522.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
House in Nyamirambo,Nyarugenge,Nyamirambo,house,6,5,3142,1880,1990,paved,1,0,1,25,72962527.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Remera,Gasabo,Remera,villa,6,3,1999,404,2008,dirt,1,3,1,28,176602382.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Kanombe,Kicukiro,Kanombe,villa,7,2,6881,2448,2014,paved,0,2,0,2,195000000.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Gisozi,Gasabo,Gisozi,apartment,4,3,5323,370,1990,paved,0,3,0,30,65400012.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,6,3,6985,2388,2002,paved,1,0,1,6,260000000.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,4,1,4310,1293,2025,paved,0,2,1,15,406969044.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,1,2,3442,358,2009,dirt,0,0,0,11,166372207.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,5,1,7241,2219,2000,paved,0,2,1,7,340320737.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kibagabaga,Gasabo,Kibagabaga,house,3,3,2589,2322,2020,paved,1,1,0,20,145326558.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,1,3,3924,614,2014,paved,1,4,0,12,166136224.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Kanombe,Kicukiro,Kanombe,apartment,4,4,1159,1364,2002,paved,0,1,0,25,55517319.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Nyarutarama,Gasabo,Nyarutarama,house,6,1,2526,1023,2017,paved,0,3,0,3,574972327.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kacyiru,Gasabo,Kacyiru,house,1,4,6672,1508,1992,paved,1,2,0,19,270218960.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Remera,Gasabo,Remera,apartment,4,4,4495,1806,2017,paved,0,4,1,24,203516755.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gitega,Nyarugenge,Gitega,house,6,5,1172,447,2012,paved,0,4,1,25,81433722.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Gisozi,Gasabo,Gisozi,villa,4,1,4682,790,2024,paved,1,4,1,21,139221381.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,7,3,891,2417,2025,paved,1,4,1,18,118798473.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Remera,Gasabo,Remera,villa,2,3,2534,1840,2022,paved,1,2,1,6,248944467.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gahanga,Kicukiro,Gahanga,house,7,1,7774,2398,2019,paved,1,0,1,19,148799342.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,3,2,6299,1110,1996,paved,0,2,1,11,134832647.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Apartment in Remera,Gasabo,Remera,apartment,6,5,2048,2466,2013,dirt,1,2,1,8,169624606.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,4,3,7682,1622,1998,dirt,0,2,0,16,70826341.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Kacyiru,Gasabo,Kacyiru,villa,6,5,1471,1299,1998,paved,0,0,0,29,179466547.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kanombe,Kicukiro,Kanombe,house,6,1,7457,1809,2003,paved,0,4,1,25,122308875.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,2,5,6806,1341,1998,paved,1,2,1,22,97879531.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,5,2,7003,2255,1998,paved,0,4,0,5,101111458.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,3,1,2592,2147,2004,paved,1,1,1,26,92245208.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,4,1,1126,1477,1996,dirt,1,4,0,13,61369066.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,5,1,5032,1180,2014,paved,1,2,1,16,243776050.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Nyarutarama,Gasabo,Nyarutarama,house,5,2,4403,828,2004,paved,1,1,1,12,633804404.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,6,2,4196,1502,1997,paved,0,4,1,27,301668914.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Gacuriro,Gasabo,Gacuriro,house,1,2,5498,809,1998,dirt,1,1,1,6,154224550.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Gisozi,Gasabo,Gisozi,house,5,5,6023,226,2008,paved,0,3,0,6,116748489.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,5,2,7309,894,2022,paved,0,3,0,3,127282598.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,2,1,935,978,2023,dirt,0,1,1,20,53347477.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,5,5,6963,631,1995,paved,0,4,0,29,94832996.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Nyamirambo,Nyarugenge,Nyamirambo,house,6,4,5076,1873,2013,paved,0,3,0,13,100850794.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Gitega,Nyarugenge,Gitega,apartment,6,5,1600,1892,1998,paved,1,0,1,29,58678272.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Remera,Gasabo,Remera,house,2,1,6609,179,2023,paved,1,1,0,11,235877012.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,2,4,6137,1188,2006,paved,0,3,0,14,367920872.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,4,2,3832,2440,2025,paved,1,2,0,13,126091527.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,1,2,4458,812,1996,paved,0,4,0,22,72286553.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,4,1,7389,523,1999,dirt,0,0,1,12,223332164.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Nyarutarama,Gasabo,Nyarutarama,house,6,4,4082,2284,2008,dirt,0,3,1,7,628030788.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Gitega,Nyarugenge,Gitega,villa,5,3,2395,287,2022,paved,0,2,1,1,131111530.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Kimihurura,Gasabo,Kimihurura,villa,3,4,3692,1768,2015,paved,0,0,0,18,373212353.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Villa in Kanombe,Kicukiro,Kanombe,villa,5,3,3646,1282,2004,paved,0,0,1,14,119037256.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Kanombe,Kicukiro,Kanombe,apartment,1,5,3210,1542,1997,dirt,0,4,1,15,69822957.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
